"pop","years","total.raw","total.smoothed","total.smoothed.high","total.smoothed.low","wild.smoothed"
"Kalama R. FR",1980,5675,3653.65,7221.47,1848.53,1826.83
"Kalama R. FR",1981,1840,3400.56,6697.5,1726.59,1700.29
"Kalama R. FR",1982,4570,3251.8,6406.64,1650.5,1625.93
"Kalama R. FR",1983,2681,3204.44,6328.91,1622.46,1602.29
"Kalama R. FR",1984,2955,2554.82,5045.24,1293.72,1277.55
"Kalama R. FR",1985,1055,2282,4507,1155.43,1141.33
"Kalama R. FR",1986,2227,3264.13,6445.52,1653.01,1633.31
"Kalama R. FR",1987,9632,6502.89,12842.26,3292.85,3257.96
"Kalama R. FR",1988,24279,9736.94,19228.72,4930.55,4894.01
"Kalama R. FR",1989,20413,8511.39,16807.22,4310.28,4314.14
"Kalama R. FR",1990,2054,3633.34,7157.4,1844.4,1881.99
"Kalama R. FR",1991,5085,3496.68,6888.27,1775.01,1912.91
"Kalama R. FR",1992,3593,3827.99,7540.1,1943.41,2232.57
"Kalama R. FR",1993,1941,3322.03,6559.68,1682.38,2400.48
"Kalama R. FR",1994,2020,3503.66,6900.76,1778.88,2433.52
"Kalama R. FR",1995,3044,3376.5,6650.17,1714.35,2130.92
"Kalama R. FR",1996,10630,3954.85,7773.21,2012.14,2012.02
"Kalama R. FR",1997,3539,3783.35,7435.6,1925.03,1721.95
"Kalama R. FR",1998,4318,3426.72,6733.84,1743.79,1564.87
"Kalama R. FR",1999,2617,2457.87,4829.61,1250.85,552.68
"Kalama R. FR",2000,1420,2041.2,4010.76,1038.83,383.58
"Kalama R. FR",2001,3613,7293.84,14331.56,3712.1,1085.97
"Kalama R. FR",2002,18809,12749.61,25051.8,6488.66,876.53
"Kalama R. FR",2003,24710,17117.82,33636.14,8711.46,810.69
"Kalama R. FR",2004,6612,13172.66,25886.16,6703.16,834.22
"Kalama R. FR",2005,9168,8706.39,17112.38,4429.61,371.14
"Kalama R. FR",2006,10386,7106.23,13972.35,3614.17,245.56
"Kalama R. FR",2007,3296,4676.66,9200.88,2377.07,238.69
"Kalama R. FR",2008,3734,4750.04,9376.02,2406.44,278.17
"Kalama R. FR",2009,7546,5699.36,11274.36,2881.12,482.41
"Kalama R. FR",2010,7057,9468.1,18964.93,4726.88,902.97
"Kalama R. FR",2011,8869,9254.51,18625.25,4598.38,753.92
"Kalama R. FR",2012,8007,7632.58,15709.06,3708.45,603.16
"Kalama R. FR",2013,12061,9851.2,21039.43,4612.59,843.36
"Kalama R. FR",2014,11537,8745.12,20831.22,3671.28,767.87
"Kalama R. SpR",1980,298,678.21,1436.29,320.25,NA
"Kalama R. SpR",1981,721,681.16,1386.12,334.73,NA
"Kalama R. SpR",1982,2712,635.97,1278.36,316.39,NA
"Kalama R. SpR",1983,1009,518.58,1044.74,257.41,NA
"Kalama R. SpR",1984,133,301.67,616.59,147.6,NA
