ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,STREAM_NAME,BROOD_YEAR,NUMBER_OF_SPAWNERS,FRACWILD,CATCH,AGE_1_RETURNS,AGE_2_RETURNS,AGE_3_RETURNS,AGE_4_RETURNS,AGE_5_RETURNS,AGE_6_RETURNS,AGE_7_RETURNS
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1964,364,-99,-99,0,0.019,0.561,0.336,0.084,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1965,75,-99,-99,0,0.115,0.164,0.68,0.041,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1966,108,-99,-99,0,0.02,0.522,0.377,0.081,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1967,100,-99,-99,0,0.063,0.254,0.636,0.047,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1968,132,-99,-99,0,0.052,0.376,0.445,0.128,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1969,86,-99,-99,0,0.104,0.275,0.552,0.069,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1970,72,-99,-99,0,0.072,0.535,0.344,0.049,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1971,933,-99,-99,0,0.02,0.349,0.599,0.031,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1972,830,-99,-99,0,0.063,0.207,0.663,0.067,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1973,242,-99,-99,0,0.034,0.343,0.476,0.148,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1974,156,-99,-99,0,0.028,0.271,0.603,0.098,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1975,296,-99,-99,0,0.055,0.322,0.498,0.125,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1976,528,-99,-99,0,0.071,0.365,0.46,0.105,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1977,337,1,-99,0,0.041,0.109,0.453,0.394,0.003,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1978,243,1,-99,0,0.013,0.34,0.405,0.236,0.006,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1979,344,1,-99,0,0.011,0.069,0.786,0.131,0.002,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1980,180,1,-99,0,0.031,0.119,0.325,0.522,0.003,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1981,116,1,-99,0,0.002,0.289,0.506,0.193,0.01,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1982,146,1,-99,0,0.124,0.012,0.692,0.17,0.002,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1983,122,1,-99,0,0.037,0.689,0.03,0.242,0.002,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1984,683,1,-99,0,0.025,0.104,0.864,0.005,0.001,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1985,491,0.95,-99,0,0.007,0.199,0.367,0.427,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1986,396,1,-99,0,0.101,0.051,0.668,0.173,0.006,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1987,386,1,-99,0,0.034,0.587,0.133,0.244,0.002,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1988,1890,1,-99,0,0.073,0.153,0.734,0.04,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1989,2549,1,-99,0,0.03,0.084,0.33,0.556,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1990,812,1,-99,0,0.101,0.257,0.373,0.228,0.041,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1991,340,1,-99,0,0,0.316,0.379,0.305,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1992,1247,1,-99,0,0.023,0.074,0.734,0.157,0.012,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1993,890,1,-99,0,0.066,0.309,0.354,0.271,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1994,1695,1,-99,0,0.056,0.315,0.555,0.074,0,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,,1995,1368,1,-99,0,0.025,0.3,0.519,0.156,0,-99
